2026-03-25 11:44:40 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:40 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:40 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_01
2026-03-25 11:44:41 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_04
2026-03-25 11:44:41 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:41 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:41 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:41 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:42 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_02
2026-03-25 11:44:42 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:42 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:42 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_05
2026-03-25 11:44:42 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:42 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:43 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_03
2026-03-25 11:44:43 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_06
2026-03-25 11:44:43 INFO  TC_002LoginTest:72 - ***** All Login Tests Completed *****
2026-03-25 11:44:43 INFO  TC_002LoginTest:73 -  page navigate login  To dashboard.
2026-03-25 11:44:43 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:43 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:44 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_04
2026-03-25 11:44:45 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:45 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:45 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_05
2026-03-25 11:44:46 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:46 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:46 INFO  TC_005_OperatorsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:44:46 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:46 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:47 INFO  TC_005_OperatorsTest:29 - Logging into application
2026-03-25 11:44:47 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_06
2026-03-25 11:44:47 INFO  TC_002LoginTest:72 - ***** All Login Tests Completed *****
2026-03-25 11:44:47 INFO  TC_002LoginTest:73 -  page navigate login  To dashboard.
2026-03-25 11:44:47 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_01
2026-03-25 11:44:48 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:48 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:48 INFO  TC_005_OperatorsTest:32 - Login successful
2026-03-25 11:44:48 INFO  TC_005_OperatorsTest:71 - Loading Operators test data from JSON file
2026-03-25 11:44:48 INFO  TC_005_OperatorsTest:39 - Starting Operators Test Case: OP_01
2026-03-25 11:44:48 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_02
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:43 - Clicked on Operators menu
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:48 - Validating page title
2026-03-25 11:44:49 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:49 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:51 - Validating page heading
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:54 - Validating number of operators
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:56 - Expected rows: 5 | Actual rows: 5
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:60 - Checking if operator exists: Kiran | Contact: 9552343698
2026-03-25 11:44:49 INFO  TC_005_OperatorsTest:65 - Operators Test Case Completed: OP_01
2026-03-25 11:44:49 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_03
2026-03-25 11:44:50 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:50 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:50 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_04
2026-03-25 11:44:50 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:50 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:50 INFO  TC_005_OperatorsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:44:50 INFO  TC_005_OperatorsTest:29 - Logging into application
2026-03-25 11:44:50 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_05
2026-03-25 11:44:50 INFO  TC_002LoginTest:27 - ***** Starting LoginTest **
2026-03-25 11:44:50 INFO  TC_002LoginTest:29 - ***** opened login page **
2026-03-25 11:44:50 INFO  TC_002LoginTest:35 - login attempted for tcId LOG_06
2026-03-25 11:44:50 INFO  TC_002LoginTest:72 - ***** All Login Tests Completed *****
2026-03-25 11:44:50 INFO  TC_002LoginTest:73 -  page navigate login  To dashboard.
2026-03-25 11:44:51 INFO  TC_005_OperatorsTest:32 - Login successful
2026-03-25 11:44:51 INFO  TC_005_OperatorsTest:71 - Loading Operators test data from JSON file
2026-03-25 11:44:51 INFO  TC_005_OperatorsTest:39 - Starting Operators Test Case: OP_01
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:43 - Clicked on Operators menu
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:48 - Validating page title
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:51 - Validating page heading
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:54 - Validating number of operators
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:56 - Expected rows: 5 | Actual rows: 5
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:60 - Checking if operator exists: Kiran | Contact: 9552343698
2026-03-25 11:44:52 INFO  TC_005_OperatorsTest:65 - Operators Test Case Completed: OP_01
2026-03-25 11:44:52 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:53 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:54 INFO  TC_001RegisterTest:48 - Alert Message : User registered successfully.
2026-03-25 11:44:54 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:55 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:55 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:55 INFO  TC_001RegisterTest:55 - Name Error : Please enter Name.
2026-03-25 11:44:55 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:56 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:56 INFO  TC_001RegisterTest:48 - Alert Message : User registered successfully.
2026-03-25 11:44:56 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:56 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:57 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:57 INFO  TC_001RegisterTest:62 - Mobile Error : Please enter Mobile.
2026-03-25 11:44:57 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:58 INFO  TC_001RegisterTest:55 - Name Error : Please enter Name.
2026-03-25 11:44:58 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:44:58 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:58 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:44:58 INFO  TC_001RegisterTest:69 - Email Error : Please enter Email.
2026-03-25 11:44:59 INFO  TC_001RegisterTest:62 - Mobile Error : Please enter Mobile.
2026-03-25 11:44:59 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:00 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:00 INFO  TC_005_OperatorsTest:26 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:45:00 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:00 INFO  TC_005_OperatorsTest:29 - Logging into application
2026-03-25 11:45:00 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:00 INFO  TC_001RegisterTest:76 - Password Error : Please enter Password.
2026-03-25 11:45:00 INFO  TC_001RegisterTest:86 - ***** All register Tests Completed *****
2026-03-25 11:45:00 INFO  TC_001RegisterTest:87 -  page navigate  register To login.
2026-03-25 11:45:01 INFO  TC_001RegisterTest:69 - Email Error : Please enter Email.
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:32 - Login successful
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:71 - Loading Operators test data from JSON file
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:39 - Starting Operators Test Case: OP_01
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:43 - Clicked on Operators menu
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:48 - Validating page title
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:51 - Validating page heading
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:54 - Validating number of operators
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:56 - Expected rows: 5 | Actual rows: 5
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:60 - Checking if operator exists: Kiran | Contact: 9552343698
2026-03-25 11:45:01 INFO  TC_005_OperatorsTest:65 - Operators Test Case Completed: OP_01
